sAMAccountName,password,ou,department,groups,userPrincipalName,givenName,initials,sn,displayname,description,physicalDeliveryOfficeName,telephoneNumber,mail,wwwHomepage,StreetAddress,postOfficeBox,l,st,postalCode,c,profilePath,scriptPath,homeDrive,homeDirectory,homePhone,mobile,ipPhone,title,company,employeeid,employeenumber,manager,proxyAddresses
Roger.Porter,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Roger.Porter@activedirectorypro.com,Roger,B,Porter,Roger Porter,Marketing User,Marketing Office,###-###-####,Roger.Porter@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Pennsauken,NJ,8110,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1055,56,robert.allen,SMTP:Roger.Porter@activedirectorypro.com
Bridget.Griffing,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Bridget.Griffing@activedirectorypro.com,Bridget,N,Griffing,Bridget Griffing,Marketing User,Marketing Office,###-###-####,Bridget.Griffing@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,New York,NY,10016,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1056,57,robert.allen,SMTP:Bridget.Griffing@activedirectorypro.com
Roy.Gully,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Roy.Gully@activedirectorypro.com,Roy,C,Gully,Roy Gully,Marketing User,Marketing Office,###-###-####,Roy.Gully@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Denver,CO,80014,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1057,58,robert.allen,SMTP:Roy.Gully@activedirectorypro.com
Sherry.Eastman,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Sherry.Eastman@activedirectorypro.com,Sherry,J,Eastman,Sherry Eastman,Marketing User,Marketing Office,###-###-####,Sherry.Eastman@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Montgomery,AL,36104,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1058,59,robert.allen,SMTP:Sherry.Eastman@activedirectorypro.com
Willard.Beeks,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Willard.Beeks@activedirectorypro.com,Willard,P,Beeks,Willard Beeks,,Accounting Office,###-###-####,Willard.Beeks@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Coos Bay,OR,97420,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1335,336,,SMTP:Willard.Beeks@activedirectorypro.com
Mona.Clarke,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Mona.Clarke@activedirectorypro.com,Mona,J,Clarke,Mona Clarke,,Accounting Office,###-###-####,Mona.Clarke@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Hickory Hills,IL,60457,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1336,337,,SMTP:Mona.Clarke@activedirectorypro.com
Joel.Johnson,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Joel.Johnson@activedirectorypro.com,Joel,R,Johnson,Joel Johnson,,Accounting Office,###-###-####,Joel.Johnson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Charlotte,NC,28202,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1337,338,,SMTP:Joel.Johnson@activedirectorypro.com
Patricia.Demartini,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Patricia.Demartini@activedirectorypro.com,Patricia,H,Demartini,Patricia Demartini,,Accounting Office,###-###-####,Patricia.Demartini@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Hightstown,NJ,8520,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1338,339,,SMTP:Patricia.Demartini@activedirectorypro.com
Ivan.Barrett,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Ivan.Barrett@activedirectorypro.com,Ivan,D,Barrett,Ivan Barrett,,Accounting Office,###-###-####,Ivan.Barrett@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Saint Louis,MO,63101,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1339,340,,SMTP:Ivan.Barrett@activedirectorypro.com
Jennifer.Chamberlin,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Jennifer.Chamberlin@activedirectorypro.com,Jennifer,E,Chamberlin,Jennifer Chamberlin,,Accounting Office,###-###-####,Jennifer.Chamberlin@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Kyle,TX,78640,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1340,341,,SMTP:Jennifer.Chamberlin@activedirectorypro.com
Alice.Mills,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Alice.Mills@activedirectorypro.com,Alice,R,Mills,Alice Mills,,Accounting Office,###-###-####,Alice.Mills@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Cypress Gardens,FL,33884,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1341,342,,SMTP:Alice.Mills@activedirectorypro.com
Patricia.McIntyre,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Patricia.McIntyre@activedirectorypro.com,Patricia,R,McIntyre,Patricia McIntyre,,Accounting Office,###-###-####,Patricia.McIntyre@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Mattoon,IL,61938,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1342,343,,SMTP:Patricia.McIntyre@activedirectorypro.com
Maryln.Wiggins,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Maryln.Wiggins@activedirectorypro.com,Maryln,C,Wiggins,Maryln Wiggins,,Accounting Office,###-###-####,Maryln.Wiggins@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Sacramento,CA,95814,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1343,344,,SMTP:Maryln.Wiggins@activedirectorypro.com
Jonathan.Percival,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Jonathan.Percival@activedirectorypro.com,Jonathan,T,Percival,Jonathan Percival,,Accounting Office,###-###-####,Jonathan.Percival@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,City Of Commerce,CA,90040,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1344,345,,SMTP:Jonathan.Percival@activedirectorypro.com
Carol.Watts,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Carol.Watts@activedirectorypro.com,Carol,O,Watts,Carol Watts,,Accounting Office,###-###-####,Carol.Watts@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Chico,CA,95928,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1345,346,,SMTP:Carol.Watts@activedirectorypro.com
Kathleen.Walters,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Kathleen.Walters@activedirectorypro.com,Kathleen,T,Walters,Kathleen Walters,,Accounting Office,###-###-####,Kathleen.Walters@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Albuquerque,NM,87112,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1346,347,,SMTP:Kathleen.Walters@activedirectorypro.com
Thanh.Lee,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Thanh.Lee@activedirectorypro.com,Thanh,M,Lee,Thanh Lee,,Accounting Office,###-###-####,Thanh.Lee@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Baker,MT,59313,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1347,348,,SMTP:Thanh.Lee@activedirectorypro.com
Martina.Sims,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Martina.Sims@activedirectorypro.com,Martina,W,Sims,Martina Sims,,Accounting Office,###-###-####,Martina.Sims@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Atlanta,GA,30303,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1348,349,,SMTP:Martina.Sims@activedirectorypro.com
Randolph.Adams,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Randolph.Adams@activedirectorypro.com,Randolph,K,Adams,Randolph Adams,,Accounting Office,###-###-####,Randolph.Adams@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Jackson,MS,39201,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1349,350,,SMTP:Randolph.Adams@activedirectorypro.com
Larry.James,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Larry.James@activedirectorypro.com,Larry,E,James,Larry James,,Accounting Office,###-###-####,Larry.James@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Clearwater,FL,34623,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1350,351,,SMTP:Larry.James@activedirectorypro.com
Jean.Robertson,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Jean.Robertson@activedirectorypro.com,Jean,B,Robertson,Jean Robertson,,Accounting Office,###-###-####,Jean.Robertson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Chandler,IN,47610,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1351,352,,SMTP:Jean.Robertson@activedirectorypro.com
Kendra.Shreve,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Kendra.Shreve@activedirectorypro.com,Kendra,B,Shreve,Kendra Shreve,,Accounting Office,###-###-####,Kendra.Shreve@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Garner,NC,27529,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1352,353,,SMTP:Kendra.Shreve@activedirectorypro.com
Briana.Reynolds,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Briana.Reynolds@activedirectorypro.com,Briana,J,Reynolds,Briana Reynolds,,Accounting Office,###-###-####,Briana.Reynolds@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Virginia Beach,VA,23451,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1353,354,,SMTP:Briana.Reynolds@activedirectorypro.com
Preston.Fowler,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Preston.Fowler@activedirectorypro.com,Preston,C,Fowler,Preston Fowler,,Accounting Office,###-###-####,Preston.Fowler@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Anchorage,AK,99504,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1354,355,,SMTP:Preston.Fowler@activedirectorypro.com
Mary.Madden,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Mary.Madden@activedirectorypro.com,Mary,W,Madden,Mary Madden,,Accounting Office,###-###-####,Mary.Madden@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Johnstown,PA,15901,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1355,356,,SMTP:Mary.Madden@activedirectorypro.com
Beverly.Benavides,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Beverly.Benavides@activedirectorypro.com,Beverly,S,Benavides,Beverly Benavides,,Accounting Office,###-###-####,Beverly.Benavides@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Kenner,LA,70065,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1356,357,,SMTP:Beverly.Benavides@activedirectorypro.com
Robert.Nealey,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Robert.Nealey@activedirectorypro.com,Robert,J,Nealey,Robert Nealey,,Accounting Office,###-###-####,Robert.Nealey@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,New York,NY,10038,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1357,358,,SMTP:Robert.Nealey@activedirectorypro.com
Kristine.Hone,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Kristine.Hone@activedirectorypro.com,Kristine,P,Hone,Kristine Hone,,Accounting Office,###-###-####,Kristine.Hone@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Omaha,NE,68154,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1358,359,,SMTP:Kristine.Hone@activedirectorypro.com
Harold.Hardy,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Harold.Hardy@activedirectorypro.com,Harold,P,Hardy,Harold Hardy,,Accounting Office,###-###-####,Harold.Hardy@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Menasha,WI,54952,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1359,360,,SMTP:Harold.Hardy@activedirectorypro.com
Julia.Bradley,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Julia.Bradley@activedirectorypro.com,Julia,B,Bradley,Julia Bradley,,Accounting Office,###-###-####,Julia.Bradley@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Southfield,MI,48075,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1360,361,,SMTP:Julia.Bradley@activedirectorypro.com
Chance.Glazier,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Chance.Glazier@activedirectorypro.com,Chance,A,Glazier,Chance Glazier,,Accounting Office,###-###-####,Chance.Glazier@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Indianapolis,IN,46225,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1361,362,,SMTP:Chance.Glazier@activedirectorypro.com
Claire.Stell,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Claire.Stell@activedirectorypro.com,Claire,K,Stell,Claire Stell,,Accounting Office,###-###-####,Claire.Stell@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Binghamton,NY,13901,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1362,363,,SMTP:Claire.Stell@activedirectorypro.com
Ima.Kim,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Ima.Kim@activedirectorypro.com,Ima,R,Kim,Ima Kim,,Accounting Office,###-###-####,Ima.Kim@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Charlestown,MA,2129,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1363,364,,SMTP:Ima.Kim@activedirectorypro.com
Jill.Schnell,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Jill.Schnell@activedirectorypro.com,Jill,B,Schnell,Jill Schnell,,Accounting Office,###-###-####,Jill.Schnell@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Minneapolis,MN,55415,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1364,365,,SMTP:Jill.Schnell@activedirectorypro.com
Donald.Ruben,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Donald.Ruben@activedirectorypro.com,Donald,E,Ruben,Donald Ruben,,Accounting Office,###-###-####,Donald.Ruben@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Rogersville,PA,15359,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1365,366,,SMTP:Donald.Ruben@activedirectorypro.com
James.Arthur,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",James.Arthur@activedirectorypro.com,James,L,Arthur,James Arthur,,Accounting Office,###-###-####,James.Arthur@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Mound,MN,55364,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1366,367,,SMTP:James.Arthur@activedirectorypro.com
Latonya.Newsome,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Latonya.Newsome@activedirectorypro.com,Latonya,M,Newsome,Latonya Newsome,,Accounting Office,###-###-####,Latonya.Newsome@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Harrisburg,PA,17111,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1367,368,,SMTP:Latonya.Newsome@activedirectorypro.com
Helen.Bailey,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Helen.Bailey@activedirectorypro.com,Helen,R,Bailey,Helen Bailey,,Accounting Office,###-###-####,Helen.Bailey@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Saginaw,MI,48601,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1368,369,,SMTP:Helen.Bailey@activedirectorypro.com
Edna.Payne,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Edna.Payne@activedirectorypro.com,Edna,J,Payne,Edna Payne,,Accounting Office,###-###-####,Edna.Payne@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Burlington,IA,52601,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1369,370,,SMTP:Edna.Payne@activedirectorypro.com
Billy.Russo,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Billy.Russo@activedirectorypro.com,Billy,S,Russo,Billy Russo,,Accounting Office,###-###-####,Billy.Russo@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Greenville,NH,3048,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1370,371,,SMTP:Billy.Russo@activedirectorypro.com
Nathan.Westberg,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Nathan.Westberg@activedirectorypro.com,Nathan,M,Westberg,Nathan Westberg,,Accounting Office,###-###-####,Nathan.Westberg@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Baton Rouge,LA,70810,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1371,372,,SMTP:Nathan.Westberg@activedirectorypro.com
Scott.Ruiz,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Scott.Ruiz@activedirectorypro.com,Scott,K,Ruiz,Scott Ruiz,,Accounting Office,###-###-####,Scott.Ruiz@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Kona,HI,96740,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1372,373,,SMTP:Scott.Ruiz@activedirectorypro.com
Lilia.Benedetti,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Lilia.Benedetti@activedirectorypro.com,Lilia,J,Benedetti,Lilia Benedetti,,Accounting Office,###-###-####,Lilia.Benedetti@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Charlestown,MA,2129,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1373,374,,SMTP:Lilia.Benedetti@activedirectorypro.com
Preston.Addison,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Preston.Addison@activedirectorypro.com,Preston,C,Addison,Preston Addison,,Accounting Office,###-###-####,Preston.Addison@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Boston,MA,2114,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1374,375,,SMTP:Preston.Addison@activedirectorypro.com
Carlos.Richmond,Football22!,"OU=Accounting,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Accounting,"Accounting_Printers,Accounting_Folders,Accounting_Local",Carlos.Richmond@activedirectorypro.com,Carlos,N,Richmond,Carlos Richmond,,Accounting Office,###-###-####,Carlos.Richmond@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Lynn,MA,1901,US,\\server\profiles\%username%,acct.bat,z:,\\server\users\accounting\%username%,###-###-####,###-###-####,###-###-####,Accounting Specialist,Active Directory Pro,1375,376,,SMTP:Carlos.Richmond@activedirectorypro.com
